,VendorNumber,VendorName,Brand,Description,ActualPrice,PurchasePrice,SalesPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollar,TotalExciseTax,GrossProfit,ProfitMargin,StockTurnover,SalesPurchaseRatio,UnitPurchasePrice,OrderSize,UnsoldInventoryValue
104,2555,DISARONNO INTERNATIONAL LLC,5312,Amaretto DiSaronno,21.99,14.7,19.99,750,27186,399634.2,26178.0,571763.22,20614.87,172129.01999999996,30.10494798878458,0.9629220922533657,1.4307164401845487,14.700000000000001,Large,14817.599999999999
105,3960,DIAGEO NORTH AMERICA INC,1869,Oban 14-Yr Single Malt,54.99,40.14,57.99,750,9892,397064.88,9219.0,549291.81,7262.52,152226.93000000005,27.71330779535927,0.9319652244237768,1.3833804943917478,40.14,Large,27014.22
106,8112,MOET HENNESSY USA INC,8622,Dom Perignon,145.99,87.09,145.99,750,4544,395736.95999999996,4127.0,589317.73,459.15000000000003,193580.77000000002,32.84828542321305,0.9082306338028169,1.489165252596068,87.08999999999999,Large,36316.53
107,3960,DIAGEO NORTH AMERICA INC,1868,Lagavulin Single Malt 16-Yr,66.99,49.62,73.99,750,7821,388078.02,7644.0,550740.5599999999,6022.61,162662.53999999992,29.535238879083092,0.9773686229382432,1.4191490669840048,49.620000000000005,Large,8782.74
108,480,BACARDI USA INC,508,Bacardi Superior Rum,12.99,9.77,15.49,1000,38957,380609.89,38335.0,522309.15,40251.75,141699.26,27.12938496290942,0.984033678157969,1.3722952653700091,9.77,Large,6076.94
109,3924,HEAVEN HILL DISTILLERIES,1180,Evan Williams Black Label B,16.99,13.07,20.99,1750,29070,379944.9,28291.0,543425.09,51982.14,163480.18999999994,30.083298141423683,0.973202614379085,1.4302734159611037,13.07,Large,10181.53
110,8112,MOET HENNESSY USA INC,4673,Hennessy VS Cognac,69.99,46.66,69.99,1750,8132,379439.12,8118.0,549271.82,14917.3,169832.69999999995,30.91960916545837,0.9982784062961141,1.4475887989620047,46.66,Large,653.24
111,1128,BROWN-FORMAN CORP,2143,Canadian Mist,12.99,10.07,13.99,1750,37653,379165.71,37763.0,518089.37,69382.94,138923.65999999997,26.81461308499728,1.0029214139643587,1.36639299476738,10.07,Large,-1107.7
112,4425,MARTIGNETTI COMPANIES,11214,Caymus Cab Svgn Napa Vly,74.99,50.33,74.99,750,7505,377726.65,7612.0,534970.9199999999,849.1700000000001,157244.2699999999,29.393049999801846,1.014257161892072,1.4162911724655909,50.330000000000005,Large,-5385.3099999999995
113,17035,PERNOD RICARD USA,2646,Chivas Regal,58.99,43.3,59.99,1750,8702,376796.6,8233.0,462119.67,15131.22,85323.07,18.463414465781128,0.9461043438290049,1.2264433118557865,43.3,Large,20307.699999999997
114,7245,PROXIMO SPIRITS INC.,8691,Jose Cuervo Especial,14.99,11.9,14.99,750,31495,374790.5,31383.0,494108.17,24709.81,119317.66999999998,24.14808684503233,0.9964438799809494,1.3183583095089122,11.9,Large,1332.8
115,3960,DIAGEO NORTH AMERICA INC,4330,Capt Morgan Spiced Rum 100,25.99,20.79,25.99,1750,17755,369126.45,17633.0,482985.67,32401.76,113859.21999999997,23.574036886021894,0.9931286961419319,1.3084558692556438,20.79,Large,2536.38
116,1485,CASTLE BRANDS CORP.,4225,Goslings Black Seal Bermuda,24.99,18.37,24.99,1750,20089,369034.93,20179.0,522535.20999999996,37080.62,153500.27999999997,29.376064437839506,1.0044800637164617,1.415950544302134,18.37,Large,-1653.3000000000002
117,1392,CONSTELLATION BRANDS INC,6479,Clos du Bois Chard,8.99,5.95,8.99,750,61869,368120.55,61253.0,567452.47,6872.1900000000005,199331.91999999998,35.1275094458572,0.9900434789636167,1.541485445460733,5.95,Large,3665.2000000000003
118,4425,MARTIGNETTI COMPANIES,3485,Luksusowa Potato Vodka,19.99,15.03,22.99,1750,24202,363756.06,23843.0,485688.56999999995,43809.65,121932.50999999995,25.105081225197445,0.9851665151640361,1.3352040650539263,15.03,Large,5395.7699999999995
119,17035,PERNOD RICARD USA,800,Jameson Irish Whiskey,31.99,24.02,32.99,1000,15142,363710.84,14506.0,468587.94,15231.3,104877.09999999998,22.381519251221015,0.9579976225069343,1.2883529674287408,24.020000000000003,Large,15276.72
120,12546,JIM BEAM BRANDS COMPANY,1345,Basil Hayden Bourbon,37.99,28.45,38.99,750,12761,363050.45,12902.0,494732.98000000004,10162.8,131682.53000000003,26.616889377376868,1.0110492908079305,1.3627113807461195,28.45,Large,-4011.45
121,3664,WILLIAM GRANT & SONS INC,1956,Balvenie 12 Yr Doublewood S,53.99,39.99,59.99,750,9013,360429.87,7922.0,456461.78,6241.49,96031.91000000003,21.038324391584336,0.8789526239875735,1.2664371573865396,39.99,Large,43629.090000000004
122,17035,PERNOD RICARD USA,2932,Jameson Black Barrel,31.99,24.61,31.99,750,14642,360339.62,13785.0,444452.14999999997,10859.05,84112.52999999997,18.924991137966142,0.9414697445704139,1.2334257054497642,24.61,Large,21090.77
123,12546,JIM BEAM BRANDS COMPANY,5391,Kamora Coffee,15.99,12.02,15.99,1750,29914,359566.28,29911.0,491568.89,54956.1,132002.61,26.853328736893822,0.9998997125091931,1.3671162101184793,12.020000000000001,Large,36.06
124,3960,DIAGEO NORTH AMERICA INC,1384,Bulleit 95 Rye,25.99,18.93,27.99,750,18900,357777.0,17620.0,470254.8,13877.41,112477.79999999999,23.91847993896075,0.9322751322751323,1.3143796275333517,18.93,Large,24230.4
125,1392,CONSTELLATION BRANDS INC,38546,Mark West Pnt Nr Sonoma,9.99,5.06,8.99,750,70531,356886.86,70188.0,675519.62,7876.0,318632.76,47.16854263981259,0.9951368901617729,1.8928116882756625,5.06,Large,1735.58
126,12546,JIM BEAM BRANDS COMPANY,3982,Hornitos Reposado Tequila,19.99,14.38,19.99,750,24801,356638.38,22099.0,469603.00999999995,17402.72,112964.62999999995,24.05534623809161,0.8910527801298335,1.3167483824932134,14.38,Large,38854.76
127,3252,E & J GALLO WINERY,3180,New Amsterdam Vodka,16.99,10.94,16.99,1750,32413,354598.22,33938.0,581784.62,62355.96,227186.40000000002,39.04991506994462,1.0470490235399377,1.6406868032219677,10.94,Large,-16683.5
128,1128,BROWN-FORMAN CORP,1789,Jack Daniels Tennesse Fire,22.99,17.16,22.99,750,20590,353324.39999999997,20025.0,469722.75,15770.39,116398.35000000003,24.780224078991285,0.9725594949004371,1.3294376216304338,17.159999999999997,Large,9695.4
129,1485,CASTLE BRANDS CORP.,1269,Jeffersons Bourbon,25.99,19.11,25.99,750,18458,352732.38,16976.0,447608.24,13370.66,94875.85999999999,21.196182626128596,0.9197096110087767,1.2689740590302483,19.11,Large,28321.02
130,3960,DIAGEO NORTH AMERICA INC,3456,Tanqueray Sterling Vodka,18.99,13.27,19.99,1750,26543,352225.61,25684.0,483047.16,47193.95,130821.54999999999,27.082562704643582,0.9676374185284256,1.3714140774715387,13.27,Large,11398.93
131,4425,MARTIGNETTI COMPANIES,23143,Bogle Chard,6.79,4.65,7.99,750,74342,345690.3,72139.0,591669.53,8099.38,245979.23000000004,41.57375317265367,0.9703666837050389,1.7115595375398154,4.6499999999999995,Large,10243.95
132,1128,BROWN-FORMAN CORP,1231,Jack Daniels No 7 Black,12.99,9.48,12.99,375,36450,345546.0,35733.0,435377.67,14044.22,89831.66999999998,20.633044868837665,0.9803292181069959,1.259970221041482,9.48,Large,6797.16
